,Counter,Gait Speed,Step Length,Stride Length,Step Width,Right Flexion Angle,Left Flexion Angle,Right Extension Angle,Left Extension Angle,Distance Travelled,Step Count,TUG Time,Cadence (Steps/min),Timestamp,Time (s),Processing time,Orientation,Turn,World Coordinates,Key Points
1,1828,0.0,0.0,0,0.0,14.957352066347852,29.81037929473939,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:25,2.127668857574463,0.09974527359008789,side,1,"{0: (0, 0, 0), 1: (0, 0, 0), 2: (-658, -768, 2194), 4: (-755, -788, 2167), 5: (-759, -604, 2260), 6: (-879, -590, 2067), 7: (-801, -283, 2239), 8: (-976, -309, 1985), 9: (-780, -86, 2356), 10: (0, 0, 0), 11: (-807, -61, 2265), 12: (-930, -57, 2146), 13: (-767, 281, 2342), 14: (-938, 296, 2216), 15: (-889, 632, 2372), 16: (-1017, 664, 2239), 17: (-815, -592, 2154)}","{0: (459, 160), 1: (466, 152), 2: (452, 149), 4: (421, 140), 5: (430, 201), 6: (373, 189), 7: (417, 289), 8: (331, 270), 9: (434, 345), 10: (338, 346), 11: (418, 351), 12: (369, 351), 13: (436, 442), 14: (375, 451), 15: (405, 534), 16: (354, 554), 17: (403, 196), 18: (array([459., 160.]), array([466., 152.]))}"
2,1829,0.0,0.0,0,0.0,9.105552852965758,28.842222992743956,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:25,2.225484848022461,0.09962868690490723,,1,"{0: (0, 0, 0), 1: (0, 0, 0), 2: (-629, -782, 2192), 4: (0, 0, 0), 5: (-728, -618, 2243), 6: (-846, -598, 2059), 7: (-761, -293, 2206), 8: (-909, -312, 1979), 9: (-752, -96, 2230), 10: (-973, -74, 2144), 11: (-756, -67, 2229), 12: (-861, -55, 2076), 13: (-654, 262, 2336), 14: (-939, 310, 2217), 15: (0, 0, 0), 16: (-1020, 668, 2238), 17: (-783, -606, 2142)}","{0: (467, 157), 1: (473, 148), 2: (460, 145), 4: (427, 136), 5: (437, 196), 6: (382, 186), 7: (425, 285), 8: (352, 269), 9: (430, 341), 10: (356, 346), 11: (429, 349), 12: (381, 351), 13: (466, 437), 14: (375, 455), 15: (455, 541), 16: (353, 555), 17: (411, 191), 18: (array([467., 157.]), array([473., 148.]))}"
3,1830,0.0,0.0,0,0.0,9.012707601372057,5.848116826684702,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:25,2.3280298709869385,0.09737205505371094,,1,"{0: (0, 0, 0), 1: (0, 0, 0), 2: (0, 0, 0), 4: (0, 0, 0), 5: (-676, -612, 2246), 6: (-808, -602, 2061), 7: (-699, -291, 2188), 8: (-845, -310, 1981), 9: (-709, -95, 2205), 10: (-823, -93, 2089), 11: (-708, -74, 2212), 12: (-843, -73, 2113), 13: (-611, 275, 2316), 14: (-918, 268, 2216), 15: (0, 0, 0), 16: (-1024, 657, 2239), 17: (-733, -604, 2134)}","{0: (482, 152), 1: (488, 143), 2: (474, 140), 4: (441, 134), 5: (452, 198), 6: (394, 185), 7: (441, 285), 8: (373, 270), 9: (440, 341), 10: (394, 340), 11: (441, 347), 12: (391, 346), 13: (476, 441), 14: (381, 443), 15: (502, 541), 16: (352, 552), 17: (425, 191), 18: (array([482., 152.]), array([488., 143.]))}"
4,1831,0.0,0.0,0,0.0,11.579361905145532,8.354790533780488,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:25,2.4350321292877197,0.10260939598083496,,1,"{0: (0, 0, 0), 1: (0, 0, 0), 2: (-514, -798, 2205), 4: (0, 0, 0), 5: (-611, -609, 2245), 6: (-740, -609, 2069), 7: (-621, -287, 2180), 8: (-751, -295, 1963), 9: (-592, -100, 2239), 10: (0, 0, 0), 11: (-597, -61, 2017), 12: (-776, -77, 2103), 13: (-543, 289, 2310), 14: (-856, 245, 2200), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-670, -603, 2137)}","{0: (502, 153), 1: (505, 143), 2: (494, 142), 4: (462, 136), 5: (470, 199), 6: (416, 184), 7: (463, 286), 8: (401, 274), 9: (476, 340), 10: (437, 333), 11: (456, 349), 12: (410, 345), 13: (494, 445), 14: (397, 437), 15: (518, 547), 16: (356, 552), 17: (444, 192), 18: (array([502., 153.]), array([505., 143.]))}"
5,1832,0.0,0.0,0,0.0,31.013692395189878,10.57582539570447,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:25,2.5470638275146484,0.10828423500061035,side,1,"{0: (0, 0, 0), 1: (0, 0, 0), 2: (-428, -790, 2199), 4: (0, 0, 0), 5: (-516, -615, 2236), 6: (-646, -617, 2072), 7: (-503, -315, 2169), 8: (-656, -318, 1966), 9: (0, 0, 0), 10: (-478, -189, 2029), 11: (-524, -60, 2212), 12: (-632, -60, 2099), 13: (-459, 277, 2297), 14: (-690, 276, 2181), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-571, -610, 2124)}","{0: (524, 156), 1: (530, 147), 2: (518, 144), 4: (491, 133), 5: (496, 197), 6: (445, 182), 7: (496, 278), 8: (432, 267), 9: (523, 321), 10: (494, 310), 11: (493, 351), 12: (453, 350), 13: (516, 442), 14: (443, 446), 15: (523, 553), 16: (367, 547), 17: (472, 189), 18: (array([524., 156.]), array([530., 147.]))}"
6,1833,0.0,0.0,0,0.0,51.53555273529173,8.109819637465478,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:25,2.645190477371216,0.11072969436645508,,1,"{0: (0, 0, 0), 1: (0, 0, 0), 2: (-345, -804, 2205), 4: (-444, -839, 2192), 5: (-454, -638, 2229), 6: (-581, -629, 2066), 7: (-423, -350, 2169), 8: (-596, -358, 1975), 9: (-284, -222, 2023), 10: (0, 0, 0), 11: (-427, -87, 2188), 12: (-536, -89, 2077), 13: (-415, 308, 2301), 14: (-525, 281, 2131), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-507, -624, 2111)}","{0: (546, 152), 1: (553, 144), 2: (542, 141), 4: (513, 129), 5: (513, 190), 6: (464, 178), 7: (519, 268), 8: (452, 255), 9: (553, 300), 10: (536, 287), 11: (519, 343), 12: (480, 341), 13: (528, 450), 14: (487, 449), 15: (522, 554), 16: (402, 526), 17: (490, 184), 18: (array([546., 152.]), array([553., 144.]))}"
7,1834,0.0,0.0,0,0.0,26.496283330141182,29.286619647652117,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:26,2.7466342449188232,0.09809374809265137,side,1,"{0: (-273, -765, 2223), 1: (0, 0, 0), 2: (-286, -795, 2189), 4: (0, 0, 0), 5: (-386, -648, 2213), 6: (-516, -646, 2066), 7: (0, 0, 0), 8: (-504, -375, 1959), 9: (0, 0, 0), 10: (0, 0, 0), 11: (-364, -114, 2145), 12: (-471, -115, 2055), 13: (-375, 267, 2095), 14: (-371, 267, 2095), 15: (-580, 573, 2221), 16: (0, 0, 0), 17: (-441, -639, 2105)}","{0: (563, 154), 1: (570, 145), 2: (558, 142), 4: (530, 129), 5: (531, 186), 6: (484, 173), 7: (545, 279), 8: (480, 249), 9: (575, 338), 10: (548, 256), 11: (535, 335), 12: (498, 333), 13: (529, 446), 14: (530, 446), 15: (477, 528), 16: (510, 552), 17: (509, 179), 18: (array([563., 154.]), array([570., 145.]))}"
8,1835,0.0,0.0,0,0.0,25.43257503252346,3.364178144926001,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:26,2.8482449054718018,0.10141682624816895,side,1,"{0: (-200, -772, 2211), 1: (0, 0, 0), 2: (-217, -800, 2164), 4: (0, 0, 0), 5: (-320, -649, 2200), 6: (-446, -649, 2050), 7: (-273, -328, 2178), 8: (-439, -387, 1937), 9: (-142, -128, 2404), 10: (0, 0, 0), 11: (-304, -97, 2093), 12: (-390, -101, 2029), 13: (-379, 284, 2261), 14: (-291, 264, 2074), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-376, -636, 2081)}","{0: (583, 151), 1: (590, 142), 2: (577, 138), 4: (548, 127), 5: (549, 185), 6: (504, 171), 7: (562, 275), 8: (499, 244), 9: (603, 335), 10: (577, 236), 11: (550, 339), 12: (521, 337), 13: (536, 445), 14: (553, 446), 15: (528, 555), 16: (534, 565), 17: (527, 178), 18: (array([583., 151.]), array([590., 142.]))}"
9,1836,0.0,0.0,0,0.0,3.8553117649237834,6.4908283878630755,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:26,2.947012186050415,0.10168218612670898,side,1,"{0: (-131, -754, 2180), 1: (0, 0, 0), 2: (-152, -785, 2141), 4: (-249, -830, 2146), 5: (-231, -652, 2221), 6: (-372, -625, 2004), 7: (-200, -330, 2149), 8: (-346, -375, 1904), 9: (-56, -139, 2394), 10: (-131, -493, 2006), 11: (-242, -99, 2057), 12: (-348, -107, 2016), 13: (-371, 301, 2281), 14: (-209, 267, 2069), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-298, -627, 2071)}","{0: (602, 153), 1: (608, 144), 2: (595, 140), 4: (567, 127), 5: (575, 186), 6: (524, 174), 7: (582, 273), 8: (527, 246), 9: (625, 332), 10: (599, 216), 11: (567, 338), 12: (533, 335), 13: (539, 449), 14: (577, 447), 15: (525, 553), 16: (616, 570), 17: (550, 180), 18: (array([602., 153.]), array([608., 144.]))}"
10,1837,0.0,0.0,0,0.0,11.009957311716306,5.569621237550763,0.0,0.0,0.0,0,0,0.0,22-07-2024 19:55:26,3.045828342437744,0.09871125221252441,side,1,"{0: (-70, -753, 2137), 1: (0, 0, 0), 2: (-92, -780, 2099), 4: (0, 0, 0), 5: (-157, -652, 2197), 6: (-313, -611, 1978), 7: (-127, -323, 2099), 8: (-249, -365, 1868), 9: (-9, -138, 2374), 10: (0, 0, 0), 11: (-162, -100, 2014), 12: (-269, -102, 1983), 13: (-289, 330, 2275), 14: (-107, 290, 2036), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-230, -614, 2027)}","{0: (619, 149), 1: (627, 140), 2: (612, 137), 4: (582, 125), 5: (595, 184), 6: (541, 176), 7: (602, 273), 8: (557, 247), 9: (637, 332), 10: (609, 203), 11: (590, 337), 12: (556, 336), 13: (561, 457), 14: (607, 455), 15: (528, 552), 16: (634, 580), 17: (569, 180), 18: (array([619., 149.]), array([627., 140.]))}"
